COUNTY	CASES	DEATHS	RECOVERED
Alabama	696	3	NA
Alaska	85	2	NA
Arizona	873	15	NA
Arkansas	404	5	NA
American Samoa	0	0	NA
California	4643	101	NA
Colorado	1734	31	NA
Connecticut	1291	27	NA
Delaware	214	3	NA
District of Columbia	304	4	NA
Florida	3763	54	NA
Georgia	2366	69	NA
Guam	55	0	NA
Hawaii	120	0	NA
Idaho	230	4	NA
Illinois	3491	47	NA
Indiana	1232	31	NA
Iowa	298	3	NA
Kansas	261	5	NA
Kentucky	302	8	NA
Louisiana	3315	137	NA
Maine	211	1	NA
Maryland	992	5	NA
Massachusetts	4257	44	NA
Michigan	3657	92	NA
Minnesota	441	5	NA
Mississippi	663	13	NA
Missouri	838	10	NA
Montana	129	1	NA
Nebraska	96	2	NA
Nevada	621	10	NA
New Hampshire	187	2	NA
New Jersey	11124	140	NA
New Mexico	191	1	NA
New York	52318	728	NA
North Carolina	935	4	NA
North Dakota	83	1	NA
Northern Mariana Islands	2	0	NA
Ohio	1406	25	NA
Oklahoma	377	15	NA
Oregon	479	13	NA
Pennsylvania	2751	34	NA
Puerto Rico	100	3	NA
Rhode Island	203		NA
South Carolina	539	13	NA
South Dakota	68	1	NA
Tennessee	1373	6	NA
Texas	2052	27	NA
US Virgin Islands	22	0	NA
Utah	602	2	NA
Vermont	211	12	NA
Virginia	739	17	NA
Washington	3723	175	NA
West Virginia	96	0	NA
Wisconsin	989	13	NA
Wyoming	82	0	NA
