,date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US Virgin Islands,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,2020-03-04,0-0,0-0,2-0,0-0,53-0,0-0,0-0,0-0,0-0,2-0,2-0,0-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,6-0,1-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,39-0,0-0,1-0,0-0
1,2020-03-05,0-0,0-0,2-0,0-0,53-0,0-0,0-0,0-0,0-0,9-0,2-0,0-0,0-0,5-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,1-0,0-0,22-0,1-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,70-0,0-0,1-0,0-0
2,2020-03-06,0-0,0-0,3-0,0-0,60-0,2-0,0-0,0-0,0-0,9-0,2-0,0-0,0-0,5-0,1-0,0-0,0-0,0-0,0-0,0-0,3-0,8-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,1-0,0-0,33-0,2-0,0-0,0-0,0-0,3-0,2-0,0-0,0-0,0-0,0-0,1-0,5-0,0-0,0-0,0-0,0-0,79-0,0-0,1-0,0-0
3,2020-03-07,0-0,0-0,5-0,0-0,69-0,8-0,0-0,0-0,0-0,14-0,6-0,1-0,0-0,6-0,1-0,0-0,0-0,1-0,0-0,0-0,3-0,13-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,2-0,4-0,0-0,76-0,2-0,0-0,0-0,1-0,7-0,2-0,0-0,2-0,2-0,0-0,1-0,8-0,0-0,1-0,0-0,0-0,102-0,0-0,1-0,0-0
4,2020-03-08,0-0,0-0,5-0,0-0,88-0,8-0,1-0,0-0,1-0,17-0,7-0,1-0,0-0,6-0,2-0,0-0,1-0,1-0,0-0,0-0,3-0,13-0,0-0,1-0,0-0,1-0,0-0,1-0,1-0,4-0,6-0,0-0,105-0,2-0,0-0,0-0,1-0,14-0,4-0,0-0,3-0,2-0,0-0,3-0,8-0,0-0,1-0,1-0,2-0,102-0,0-0,1-0,0-0
5,2020-03-09,0-0,0-0,5-0,0-0,114-0,9-0,1-0,0-0,1-0,18-0,12-0,2-0,0-0,7-0,2-0,3-0,1-0,4-0,1-0,0-0,5-0,41-0,0-0,2-0,0-0,1-0,0-0,3-0,1-0,4-0,11-0,0-0,142-0,2-0,0-0,3-0,1-0,14-0,7-0,0-0,3-0,7-0,0-0,3-0,12-0,0-0,1-0,1-0,3-0,136-0,0-0,1-0,0-0
6,2020-03-10,0-0,0-0,6-0,0-0,133-0,12-0,2-0,0-0,5-0,19-0,17-0,2-0,0-0,19-0,6-0,8-0,1-0,6-0,1-0,0-0,6-0,92-0,0-0,3-0,0-0,1-0,0-0,3-0,0-0,4-0,15-0,0-0,173-0,7-0,0-0,3-0,2-0,15-0,12-0,0-0,3-0,7-0,0-0,7-0,13-0,0-0,2-0,1-0,8-0,162-0,0-0,2-0,0-0
7,2020-03-11,0-0,0-0,9-0,0-0,157-0,28-0,3-0,1-0,4-0,28-2,22-0,2-0,0-0,19-0,10-0,13-0,1-0,8-0,6-0,0-0,9-0,92-0,2-0,5-0,0-0,1-0,0-0,5-0,5-0,4-0,24-1,3-0,216-0,7-0,0-0,4-0,2-0,19-0,15-0,0-0,5-0,9-0,5-0,7-0,21-0,0-0,2-0,1-0,9-0,267-24,0-0,3-0,0-0
8,2020-03-12,0-0,0-0,9-0,6-0,202-4,45-0,6-0,4-0,10-0,32-2,31-0,2-0,0-0,25-0,12-0,14-0,4-0,8-0,14-0,1-0,12-0,95-0,2-0,9-0,1-0,1-0,1-0,10-0,7-0,6-0,30-1,5-0,216-0,12-0,1-0,5-0,3-0,19-0,22-0,0-0,5-0,10-0,8-0,18-0,23-0,0-0,4-0,2-0,17-0,337-29,0-0,8-0,1-0
9,2020-03-13,1-0,1-0,9-0,9-0,202-4,72-0,6-0,4-0,10-0,50-2,42-1,2-0,0-0,32-0,12-0,16-0,6-0,11-0,36-0,3-0,17-0,123-0,16-0,14-0,4-0,2-0,1-0,13-0,11-0,6-0,50-1,10-0,421-0,15-0,1-0,13-0,3-0,30-0,33-0,0-0,14-0,12-0,9-0,26-0,39-0,0-0,6-0,2-0,30-0,457-31,0-0,19-0,1-0
