date	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-04	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	53-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	2-0-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	4-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	6-0-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	3-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	0-0-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	39-0-NA	NA-NA-NA	1-0-NA	NA-NA-NA
2020-03-05	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	53-0-NA	0-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	9-0-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	5-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	0-0-NA	2-0-NA	0-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	0-0-NA	1-0-NA	2-0-NA	1-0-NA	NA-NA-NA	22-0-NA	1-0-NA	NA-NA-NA	NA-NA-NA	0-0-NA	NA-NA-NA	3-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	0-0-NA	NA-NA-NA	1-0-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	0-0-NA	70-0-NA	NA-NA-NA	1-0-NA	NA-NA-NA
2020-03-06	NA-NA-NA	0-0-NA	3-0-NA	0-0-NA	NA-NA-NA	60-0-NA	2-0-NA	NA-NA-NA	0-0-NA	NA-NA-NA	9-0-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	5-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	NA-NA-NA	NA-NA-NA	3-0-NA	8-0-NA	0-0-NA	0-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	0-0-NA	1-0-NA	2-0-NA	1-0-NA	0-0-NA	33-0-NA	2-0-NA	NA-NA-NA	NA-NA-NA	0-0-NA	NA-NA-NA	3-0-NA	2-0-NA	NA-NA-NA	NA-NA-NA	0-0-NA	NA-NA-NA	1-0-NA	5-0-NA	NA-NA-NA	NA-NA-NA	0-0-NA	0-0-NA	79-0-NA	0-0-NA	1-0-NA	NA-NA-NA
2020-03-07	0-0-NA	0-0-NA	5-0-NA	0-0-NA	NA-NA-NA	69-0-NA	8-0-NA	0-0-NA	0-0-NA	NA-NA-NA	14-0-NA	6-0-NA	NA-NA-NA	1-0-NA	0-0-NA	6-0-NA	1-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	3-0-NA	13-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	1-0-NA	2-0-NA	4-0-NA	0-0-NA	76-0-NA	2-0-NA	0-0-NA	NA-NA-NA	0-0-NA	1-0-NA	7-0-NA	2-0-NA	NA-NA-NA	2-0-NA	2-0-NA	0-0-NA	1-0-NA	8-0-NA	NA-NA-NA	1-0-NA	0-0-NA	0-0-NA	102-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-08	0-0-NA	0-0-NA	5-0-NA	0-0-NA	NA-NA-NA	88-0-NA	8-0-NA	1-0-NA	0-0-NA	NA-NA-NA	17-0-NA	7-0-NA	NA-NA-NA	1-0-NA	0-0-NA	6-0-NA	2-0-NA	0-0-NA	1-0-NA	1-0-NA	0-0-NA	0-0-NA	3-0-NA	13-0-NA	0-0-NA	1-0-NA	0-0-NA	1-0-NA	0-0-NA	1-0-NA	1-0-NA	4-0-NA	6-0-NA	0-0-NA	105-0-NA	2-0-NA	0-0-NA	NA-NA-NA	0-0-NA	1-0-NA	14-0-NA	4-0-NA	NA-NA-NA	3-0-NA	2-0-NA	0-0-NA	3-0-NA	8-0-NA	NA-NA-NA	1-0-NA	1-0-NA	2-0-NA	102-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-09	0-0-NA	0-0-NA	5-0-NA	0-0-NA	NA-NA-NA	114-0-NA	9-0-NA	1-0-NA	0-0-NA	NA-NA-NA	18-0-NA	12-0-NA	NA-NA-NA	2-0-NA	0-0-NA	7-0-NA	2-0-NA	3-0-NA	1-0-NA	4-0-NA	1-0-NA	0-0-NA	5-0-NA	41-0-NA	0-0-NA	2-0-NA	0-0-NA	1-0-NA	0-0-NA	3-0-NA	1-0-NA	4-0-NA	11-0-NA	0-0-NA	142-0-NA	2-0-NA	0-0-NA	NA-NA-NA	3-0-NA	1-0-NA	14-0-NA	7-0-NA	NA-NA-NA	3-0-NA	7-0-NA	0-0-NA	3-0-NA	12-0-NA	NA-NA-NA	1-0-NA	1-0-NA	3-0-NA	136-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-10	0-0-NA	0-0-NA	6-0-NA	0-0-NA	NA-NA-NA	133-0-NA	12-0-NA	2-0-NA	0-0-NA	NA-NA-NA	19-0-NA	17-0-NA	NA-NA-NA	2-0-NA	0-0-NA	19-0-NA	6-0-NA	8-0-NA	1-0-NA	6-0-NA	1-0-NA	0-0-NA	6-0-NA	92-0-NA	0-0-NA	3-0-NA	0-0-NA	1-0-NA	0-0-NA	3-0-NA	0-0-NA	4-0-NA	15-0-NA	0-0-NA	173-0-NA	7-0-NA	0-0-NA	NA-NA-NA	3-0-NA	2-0-NA	15-0-NA	12-0-NA	NA-NA-NA	3-0-NA	7-0-NA	0-0-NA	7-0-NA	13-0-NA	NA-NA-NA	2-0-NA	1-0-NA	8-0-NA	162-0-NA	0-0-NA	2-0-NA	0-0-NA
2020-03-11	0-0-NA	0-0-NA	9-0-NA	0-0-NA	NA-NA-NA	157-0-NA	28-0-NA	3-0-NA	1-0-NA	NA-NA-NA	28-2-NA	22-0-NA	NA-NA-NA	2-0-NA	0-0-NA	19-0-NA	10-0-NA	13-0-NA	1-0-NA	8-0-NA	6-0-NA	0-0-NA	9-0-NA	92-0-NA	2-0-NA	5-0-NA	0-0-NA	1-0-NA	0-0-NA	5-0-NA	5-0-NA	4-0-NA	24-1-NA	3-0-NA	216-0-NA	7-0-NA	0-0-NA	NA-NA-NA	4-0-NA	2-0-NA	19-0-NA	15-0-NA	NA-NA-NA	5-0-NA	9-0-NA	5-0-NA	7-0-NA	21-0-NA	NA-NA-NA	2-0-NA	1-0-NA	9-0-NA	267-24-NA	0-0-NA	3-0-NA	0-0-NA
2020-03-12	0-0-NA	0-0-NA	9-0-NA	6-0-NA	NA-NA-NA	202-4-NA	45-0-NA	6-0-NA	4-0-NA	NA-NA-NA	32-2-NA	31-0-NA	NA-NA-NA	2-0-NA	0-0-NA	25-0-NA	12-0-NA	14-0-NA	4-0-NA	8-0-NA	14-0-NA	1-0-NA	12-0-NA	95-0-NA	2-0-NA	9-0-NA	1-0-NA	1-0-NA	1-0-NA	10-0-NA	7-0-NA	6-0-NA	30-1-NA	5-0-NA	216-0-NA	12-0-NA	1-0-NA	NA-NA-NA	5-0-NA	3-0-NA	19-0-NA	22-0-NA	NA-NA-NA	5-0-NA	10-0-NA	8-0-NA	18-0-NA	23-0-NA	NA-NA-NA	4-0-NA	2-0-NA	17-0-NA	337-29-NA	0-0-NA	8-0-NA	1-0-NA
2020-03-13	1-0-NA	1-0-NA	9-0-NA	9-0-NA	NA-NA-NA	202-4-NA	72-0-NA	6-0-NA	4-0-NA	NA-NA-NA	50-2-NA	42-1-NA	NA-NA-NA	2-0-NA	0-0-NA	32-0-NA	12-0-NA	16-0-NA	6-0-NA	11-0-NA	36-0-NA	3-0-NA	17-0-NA	123-0-NA	16-0-NA	14-0-NA	4-0-NA	2-0-NA	1-0-NA	13-0-NA	11-0-NA	6-0-NA	50-1-NA	10-0-NA	421-0-NA	15-0-NA	1-0-NA	NA-NA-NA	13-0-NA	3-0-NA	30-0-NA	33-0-NA	NA-NA-NA	14-0-NA	12-0-NA	9-0-NA	26-0-NA	39-0-NA	NA-NA-NA	6-0-NA	2-0-NA	30-0-NA	457-31-NA	0-0-NA	19-0-NA	1-0-NA
