COUNTY	CASES	DEATHS	RECOVERED
Alabama	678	4	NA
Alaska	85	1	NA
Arizona	773	15	NA
Arkansas	404	3	NA
American Samoa	0	0	NA
California	4,986	104	NA
Colorado	1,737	30	NA
Connecticut	1,291	27	NA
Delaware	213	3	NA
District of Columbia	304	4	NA
Florida	3,745	52	NA
Georgia	2,198	64	NA
Guam	57	1	NA
Hawaii	120	0	NA
Idaho	231	4	NA
Illinois	3,520	49	NA
Indiana	1,232	31	NA
Iowa	298	3	NA
Kansas	268	5	NA
Kentucky	302	8	NA
Louisiana	3,315	137	NA
Maine	168	1	NA
Maryland	993	5	NA
Massachusetts	4,257	44	NA
Michigan	4,635	111	NA
Minnesota	441	5	NA
Mississippi	579	8	NA
Missouri	838	10	NA
Montana	129	1	NA
Nebraska	108	2	NA
Nevada	706	14	NA
New Hampshire	187	2	NA
New Jersey	11,124	140	NA
New Mexico	191	1	NA
New York	52,354	728	NA
North Carolina	972	4	NA
North Dakota	83	1	NA
Northern Mariana Islands	2	0	NA
Ohio	1,406	25	NA
Oklahoma	377	15	NA
Oregon	479	13	NA
Pennsylvania	2,751	34	NA
Puerto Rico	100	3	NA
Rhode Island	239	2	NA
South Carolina	660	15	NA
South Dakota	68	1	NA
Tennessee	1,298	6	NA
Texas	2,063	28	NA
US Virgin Islands	0	0	NA
Utah	603	2	NA
Vermont	211	12	NA
Virginia	740	17	NA
Washington	3,776	177	NA
West Virginia	96	0	NA
Wisconsin	1,042	17	NA
Wyoming	73	0	NA
STATE	CASES	DEATHS	NA
Virgin Islands	19	0	NA
