COUNTY	CASES	DEATHS	RECOVERED
Alabama	531	NA	NA
Alaska	69	NA	NA
Arizona	508	NA	NA
Arkansas	349	NA	NA
American Samoa	0	NA	NA
California	3777	NA	NA
Colorado	1430	NA	NA
Connecticut	1012	NA	NA
Delaware	143	NA	NA
District of Columbia	0	NA	NA
Florida	2352	NA	NA
Georgia	1714	NA	NA
Guam	47	NA	NA
Hawaii	86	NA	NA
Idaho	189	NA	NA
Illinois	2538	NA	NA
Indiana	645	NA	NA
Iowa	179	NA	NA
Kansas	168	NA	NA
Kentucky	248	NA	NA
Louisiana	2305	NA	NA
Maine	155	NA	NA
Maryland	774	NA	NA
Massachusetts	2417	NA	NA
Michigan	2856	NA	NA
Minnesota	399	NA	NA
Mississippi	579	NA	NA
Missouri	502	NA	NA
Montana	90	NA	NA
Nebraska	73	NA	NA
Nevada	535	NA	NA
New Hampshire	158	NA	NA
New Jersey	6876	NA	NA
New Mexico	136	NA	NA
New York	38977	NA	NA
North Carolina	764	NA	NA
North Dakota	58	NA	NA
Northern Mariana Islands	0	NA	NA
Ohio	867	NA	NA
Oklahoma	248	NA	NA
Oregon	316	NA	NA
Pennsylvania	1688	NA	NA
Puerto Rico	64	NA	NA
Rhode Island	188	NA	NA
South Carolina	456	NA	NA
South Dakota	46	NA	NA
Tennessee	957	NA	NA
Texas	1396	NA	NA
US Virgin Islands	0	NA	NA
Utah	402	NA	NA
Vermont	156	NA	NA
Virginia	604	NA	NA
Washington	3207	NA	NA
West Virginia	76	NA	NA
Wisconsin	707	NA	NA
Wyoming	55	NA	NA
Washington D.C.	267	NA	NA
Marshall Islands	0	NA	NA
Micronesia	0	NA	NA
Northern Marianas	0	NA	NA
Palau	0	NA	NA
Virgin Islands	17	NA	NA
