COUNTY	CASES	DEATHS	RECOVERED
Alabama	696	3	NA
Alaska	85	2	NA
Arizona	773	15	NA
Arkansas	388	3	NA
American Samoa	0	0	NA
California	3,801	78	NA
Colorado	1,734	31	NA
Connecticut	1,291	27	NA
Delaware	165	2	NA
District of Columbia	304	4	NA
Florida	3,600	53	NA
Georgia	2,366	69	NA
Guam	51	1	NA
Hawaii	120	0	NA
Idaho	230	4	NA
Illinois	3,491	47	NA
Indiana	981	24	NA
Iowa	298	3	NA
Kansas	202	4	NA
Kentucky	302	7	NA
Louisiana	3,315	137	NA
Maine	211	1	NA
Maryland	992	5	NA
Massachusetts	4,257	44	NA
Michigan	3,657	92	NA
Minnesota	398	4	NA
Mississippi	663	13	NA
Missouri	670	9	NA
Montana	121	1	NA
Nebraska	89	2	NA
Nevada	621	10	NA
New Hampshire	187	2	NA
New Jersey	8,825	108	NA
New Mexico	191	1	NA
New York	52,318	728	NA
North Carolina	934	4	NA
North Dakota	68	1	NA
Northern Mariana Islands	2	0	NA
Ohio	1,406	25	NA
Oklahoma	377	15	NA
Oregon	414	12	NA
Pennsylvania	2,751	34	NA
Puerto Rico	100	3	NA
Rhode Island	230	2	NA
South Carolina	660	15	NA
South Dakota	58	1	NA
Tennessee	1,373	6	NA
Texas	1,731	23	NA
US Virgin Islands	19	0	NA
Utah	480	2	NA
Vermont	211	12	NA
Virginia	739	17	NA
Washington	3,723	175	NA
West Virginia	96	0	NA
Wisconsin	842	13	NA
Wyoming	73	0	NA
