COUNTY	CASES	DEATHS	RECOVERED
Autauga-Alabama	6	0	0
Baldwin-Alabama	5	0	0
Barbour-Alabama	0	0	0
Bibb-Alabama	0	0	0
Blount-Alabama	4	0	0
Bullock-Alabama	2	0	0
Butler-Alabama	1	0	0
Calhoun-Alabama	3	0	0
Chambers-Alabama	13	0	0
Cherokee-Alabama	1	0	0
Chilton-Alabama	6	0	0
Choctaw-Alabama	1	0	0
Clarke-Alabama	0	0	0
Clay-Alabama	1	0	0
Cleburne-Alabama	3	0	0
Coffee-Alabama	0	0	0
Colbert-Alabama	1	0	0
Conecuh-Alabama	0	0	0
Coosa-Alabama	2	0	0
Covington-Alabama	1	0	0
Crenshaw-Alabama	1	0	0
Cullman-Alabama	6	0	0
Dale-Alabama	0	0	0
Dallas-Alabama	2	0	0
De Kalb-Alabama	0	0	0
Elmore-Alabama	12	0	0
Escambia-Alabama	0	0	0
Etowah-Alabama	4	0	0
Fayette-Alabama	0	0	0
Franklin-Alabama	3	0	0
Geneva-Alabama	0	0	0
Greene-Alabama	1	0	0
Hale-Alabama	0	0	0
Henry-Alabama	0	0	0
Houston-Alabama	3	0	0
Jackson-Alabama	4	1	0
Jefferson-Alabama	177	0	0
Lamar-Alabama	1	0	0
Lauderdale-Alabama	9	1	0
Lawrence-Alabama	2	0	0
Lee-Alabama	48	0	0
Limestone-Alabama	14	0	0
Lowndes-Alabama	1	0	0
Macon-Alabama	0	0	0
Madison-Alabama	47	1	0
Marengo-Alabama	2	0	0
Marion-Alabama	7	0	0
Marshall-Alabama	4	0	0
Mobile-Alabama	23	1	0
Monroe-Alabama	0	0	0
Montgomery-Alabama	18	0	0
Morgan-Alabama	9	0	0
Perry-Alabama	0	0	0
Pickens-Alabama	1	0	0
Pike-Alabama	2	0	0
Randolph-Alabama	1	0	0
Russell-Alabama	1	0	0
St Clair-Alabama	0	0	0
Shelby-Alabama	66	0	0
Sumter-Alabama	0	0	0
Talladega-Alabama	4	0	0
Tallapoosa-Alabama	4	0	0
Tuscaloosa-Alabama	21	0	0
Walker-Alabama	23	0	0
Washington-Alabama	2	0	0
Wilcox-Alabama	2	0	0
Winston-Alabama	2	0	0
Aleutians East-Alaska	0	0	0
Aleutians West-Alaska	0	0	0
Anchorage-Alaska	30	0	0
Bethel-Alaska	0	0	0
Bristol Bay-Alaska	0	0	0
Denali-Alaska	0	0	0
Dillingham-Alaska	0	0	0
Fairbanks North Star-Alaska	10	0	0
Haines-Alaska	0	0	0
Juneau-Alaska	3	0	0
Kenai Peninsula-Alaska	4	0	0
Ketchikan Gateway-Alaska	11	0	0
Kodiak Island-Alaska	0	0	0
Lake and Peninsula-Alaska	0	0	0
Matanuska-Susitna-Alaska	0	0	0
Nome-Alaska	0	0	0
North Slope-Alaska	0	0	0
Northwest Arctic-Alaska	0	0	0
Prince of Wales-Outer Ketchikan-Alaska	0	0	0
Sitka-Alaska	0	0	0
Skagway-Hoonah-Angoon-Alaska	0	0	0
Southeast Fairbanks-Alaska	0	0	0
Valdez-Cordova-Alaska	0	0	0
Wade Hampton-Alaska	0	0	0
Wrangell-Petersburg-Alaska	0	0	0
Yakutat-Alaska	0	0	0
Yukon-Koyukuk-Alaska	0	0	0
Apache-Arizona	11	0	0
Cochise-Arizona	2	0	0
Coconino-Arizona	41	2	0
Gila-Arizona	0	0	0
Graham-Arizona	4	0	0
Greenlee-Arizona	0	0	0
La Paz-Arizona	2	0	0
Maricopa-Arizona	399	5	0
Mohave-Arizona	4	0	0
Navajo-Arizona	49	0	0
Pima-Arizona	102	4	0
Pinal-Arizona	36	0	0
Santa Cruz-Arizona	2	0	0
